Timestamp,Latitude,Longitude,Altitude,Distance,horizontalAccuracy,verticalAccuracy
400606837.127868,44.478902,-73.193145,113.992783,13.488649,10.000000,18.532095
400606840.117143,44.478894,-73.193047,113.080254,7.844693,10.000000,17.754598
400606843.115681,44.478911,-73.192958,117.704918,7.307082,10.000000,16.933607
400606845.117105,44.478922,-73.192911,115.199234,3.939733,10.000000,16.412744
400606848.121820,44.478912,-73.192848,115.054588,5.156403,10.000000,15.818544
400606850.117479,44.478919,-73.192812,116.391891,2.942433,10.000000,15.527765
400606853.124298,44.478948,-73.192786,114.038124,3.841300,10.000000,14.933261
400606856.119933,44.479012,-73.192727,115.594406,8.535063,10.000000,14.391715
400606858.119041,44.479023,-73.192685,119.392006,3.593801,10.000000,14.123929
400606862.113790,44.479004,-73.192586,124.702965,8.186882,10.000000,13.533223
400606866.119810,44.478996,-73.192516,124.292038,5.581932,10.000000,13.071949
400606869.124002,44.478990,-73.192449,124.602798,5.358257,10.000000,12.757174
400606872.117077,44.479002,-73.192384,121.379135,5.400737,10.000000,12.292337
400606876.117058,44.479024,-73.192315,119.384125,5.950220,10.000000,11.720037
400606879.119939,44.479044,-73.192259,116.248505,5.027239,10.000000,11.349323
400606882.112975,44.479043,-73.192194,118.655365,5.143559,10.000000,11.053199
400606885.120681,44.479022,-73.192140,119.355293,4.850231,10.000000,10.817266
400606888.120595,44.478993,-73.192097,115.559814,4.715102,10.000000,10.575232
400606893.115088,44.478936,-73.192053,116.539024,7.264770,10.000000,10.218971
400606896.106594,44.478882,-73.192003,115.507225,7.181609,10.000000,10.059167
400606901.124453,44.478836,-73.191963,116.601089,6.024525,10.000000,9.865584
400606905.113011,44.478764,-73.191926,113.577660,8.461405,10.000000,9.682094
400606908.110000,44.478716,-73.191887,113.431137,6.230273,10.000000,9.533254
400606912.115423,44.478667,-73.191832,111.807861,6.935044,10.000000,9.372420
400606916.109420,44.478626,-73.191779,111.685310,6.239424,10.000000,9.324162
400606920.114460,44.478608,-73.191773,113.142471,2.104174,10.000000,9.328668
400606926.125583,44.478559,-73.191759,112.329163,5.503094,10.000000,9.526535
400606928.123869,44.478545,-73.191746,109.355125,1.886319,10.000000,9.523715
400606930.100835,44.478538,-73.191706,107.164886,3.237254,10.000000,9.625902
400606932.122884,44.478539,-73.191674,112.760086,2.580751,10.000000,9.662170
400606936.115475,44.478547,-73.191644,109.990547,2.543689,10.000000,9.935618
400606938.121615,44.478585,-73.191610,101.105316,5.080671,10.000000,9.889578
400606940.116216,44.478607,-73.191609,104.499619,2.407117,10.000000,9.830991
400606943.113808,44.478649,-73.191606,99.484451,4.647809,10.000000,9.757045
400606946.101172,44.478692,-73.191614,102.423805,4.828205,10.000000,9.598757
400606949.113528,44.478732,-73.191624,106.131302,4.573472,10.000000,9.525994
400606951.112076,44.478769,-73.191640,108.719711,4.275426,10.000000,9.419573
400606955.121970,44.478816,-73.191641,102.894470,5.263088,10.000000,9.316249
400606958.122003,44.478892,-73.191653,105.308670,8.493381,10.000000,9.263849
400606961.118472,44.478934,-73.191666,105.990669,4.730959,10.000000,9.226775
400606963.112537,44.478945,-73.191666,104.962791,1.270892,10.000000,9.362443
400606965.101169,44.478971,-73.191678,115.259323,2.968042,10.000000,9.378989
400606968.121454,44.479019,-73.191686,108.013847,5.411671,10.000000,9.359564
400606974.118030,44.479068,-73.191712,108.018829,5.852387,10.000000,9.695362
400606978.113199,44.479134,-73.191734,109.587311,7.542067,10.000000,9.678624
400606984.105781,44.479207,-73.191763,107.283722,8.394971,10.000000,9.675823
400606988.112451,44.479282,-73.191779,104.232300,8.483234,10.000000,9.918372
400606991.112078,44.479359,-73.191796,107.246429,8.575917,10.000000,10.058383
400606996.119097,44.479414,-73.191806,108.865700,6.264621,10.000000,10.096178
400606998.119022,44.479448,-73.191825,107.552467,4.033148,10.000000,10.026321
400607002.118008,44.479513,-73.191842,106.661423,7.334216,10.000000,9.950804
400607008.113759,44.479553,-73.191851,101.169044,4.518293,10.000000,9.931388
400607013.120967,44.479620,-73.191885,98.561737,7.869429,10.000000,10.312227
400607016.113800,44.479649,-73.191900,95.954033,3.453028,10.000000,10.479143
400607020.112506,44.479732,-73.191926,95.544022,9.432387,10.000000,10.420492
400607024.109054,44.479792,-73.191957,93.325134,7.128344,10.000000,10.651787
400607027.116802,44.479867,-73.191978,97.089287,8.498631,10.000000,10.909004
400607031.108425,44.479876,-73.191985,91.603439,1.105840,10.000000,11.195342
400607036.109448,44.479959,-73.192028,91.841537,9.883238,10.000000,11.220646
400607044.113728,44.480033,-73.192053,84.027954,8.448443,10.000000,12.376848
400607048.115032,44.480162,-73.192081,79.193474,14.566243,10.000000,12.469314
400607051.126551,44.480209,-73.192049,85.449081,5.720208,10.000000,12.326928
400607054.122552,44.480226,-73.191987,88.662506,5.327246,10.000000,12.098967
400607057.491131,44.480274,-73.191924,87.430542,7.342960,10.000000,11.773986
400607060.102263,44.480302,-73.191879,94.269432,4.680017,5.000000,9.500000
